PUFC04_SEX,PUFC05_AGE,PUFC06_MSTAT,PUFC07_GRADE,PUFC09_GRADTECH,PUFC11_WORK,PUFC14_PROCC,PUFC17_NATEM,PUFC18_PNWHRS,PUFC19_PHOURS,PUFC23_PCLASS,PUFC41_WQTR,PUFNEWEMPSTAT
1,34,2,2,0,1,1,2,4,28,2,2,0
0,32,2,20,0,0,43,3,0,0,5,0,1
0,28,3,2,1,1,33,2,6,18,0,2,0
0,86,1,20,0,0,43,3,0,0,5,0,1
1,55,2,9,0,1,10,1,8,56,2,2,0
0,55,2,14,0,0,43,3,0,0,5,1,1
1,29,5,20,0,1,35,1,8,48,2,2,0
1,22,2,20,0,0,43,3,0,0,5,0,2
0,22,2,20,0,0,43,3,0,0,5,1,1
1,41,2,4,0,1,1,2,8,32,2,2,0
0,37,2,4,0,0,43,3,0,0,5,1,1
0,60,5,9,0,1,1,2,8,8,2,0,0
0,35,2,4,0,0,43,3,0,0,5,1,1
1,21,2,9,0,1,1,2,8,32,2,2,0
0,19,2,14,0,0,43,3,0,0,5,1,1
1,54,2,7,0,1,1,2,8,48,2,2,0
0,54,2,4,0,1,1,2,8,24,2,2,0
1,28,2,4,0,1,1,2,8,40,2,2,0
0,24,2,14,0,1,1,2,8,24,2,0,0
0,65,5,8,0,1,19,1,8,16,4,2,0
1,42,3,8,0,1,22,0,8,48,2,2,0
1,20,3,14,0,0,43,3,0,0,5,2,1
1,54,2,2,0,1,25,1,8,40,4,2,0
0,56,2,13,0,0,43,3,0,0,5,1,1
1,49,2,4,0,1,33,1,8,56,4,2,0
0,16,3,14,0,0,43,3,0,0,5,1,1
1,41,2,11,0,1,33,1,8,56,4,2,0
1,18,3,0,0,0,43,3,0,0,5,1,1
1,17,3,13,0,0,43,3,0,0,5,1,1
1,15,3,12,0,0,43,3,0,0,5,1,1
0,76,5,8,0,0,43,3,0,0,5,2,1
1,47,2,14,0,1,25,2,8,40,0,2,0
0,44,2,14,0,1,1,2,5,30,7,2,0
0,38,2,2,0,0,43,3,0,0,5,0,1
1,55,3,14,0,1,25,1,4,28,4,2,0
1,52,3,8,0,1,1,1,4,28,7,2,0
1,38,2,13,0,1,25,1,8,32,4,2,0
0,40,2,20,0,1,32,1,8,40,2,2,0
1,41,2,14,0,1,4,0,8,40,2,2,0
1,55,2,2,0,1,25,2,8,40,4,2,0
0,50,2,14,0,1,1,2,5,25,7,2,0
1,52,2,3,0,1,25,2,6,36,0,2,0
0,46,2,0,0,1,1,2,6,36,7,2,0
0,22,3,20,0,0,43,3,0,0,5,1,1
1,27,2,0,0,1,22,0,8,48,2,2,0
0,27,2,20,0,1,18,1,8,40,2,2,0
1,35,2,14,0,1,4,0,8,48,2,2,0
0,37,2,4,0,1,8,2,8,24,3,2,0
1,43,2,4,0,1,25,1,6,24,4,2,0
0,43,2,20,0,1,24,1,8,40,1,2,0
1,22,2,4,0,1,4,0,8,48,2,2,0
0,18,2,13,0,0,43,3,0,0,5,1,1
1,52,2,4,0,1,25,2,8,40,0,2,0
0,49,2,14,0,1,1,2,6,30,7,2,0
1,32,3,14,0,1,1,2,8,40,7,2,0
1,79,2,4,0,1,26,1,4,8,4,2,0
1,33,3,4,0,1,26,1,4,8,4,2,0
1,48,2,14,0,1,25,1,8,48,4,2,0
